  x =        1.00000000000000
                      y                     f1                     f2                  delta                   frac
<<<<<<< ours
       2.00000000000000      0.166666666666668      0.166666666666667   1.80411241501588e-15   1.08246744900953e-14
       3.00000000000000     0.0833333333333342     0.0833333333333333   8.88178419700125e-16   1.06581410364015e-14
       4.00000000000000     0.0500000000000005     0.0500000000000000   5.34294830600857e-16   1.06858966120171e-14
       5.00000000000000     0.0333333333333337     0.0333333333333333   3.53883589099269e-16   1.06165076729781e-14
       6.00000000000000     0.0238095238095241     0.0238095238095238   2.42861286636753e-16   1.02001740387436e-14
       7.00000000000000     0.0178571428571430     0.0178571428571429   1.83880688453542e-16   1.02973185533983e-14
       8.00000000000000     0.0138888888888890     0.0138888888888889   1.61329283265843e-16   1.16157083951407e-14
       9.00000000000000     0.0111111111111112     0.0111111111111111   1.17961196366423e-16   1.06165076729781e-14
       10.0000000000000    0.00909090909090918    0.00909090909090909   8.67361737988404e-17   9.54097911787244e-15
       11.0000000000000    0.00757575757575767    0.00757575757575758   9.62771529167128e-17   1.27085841850061e-14
       12.0000000000000    0.00641025641025647    0.00641025641025641   6.24500451351651e-17   9.74220704108575e-15
       13.0000000000000    0.00549450549450555    0.00549450549450549   5.89805981832114e-17   1.07344688693445e-14
       14.0000000000000    0.00476190476190483    0.00476190476190476   6.41847686111419e-17   1.34788014083398e-14
       15.0000000000000    0.00416666666666671    0.00416666666666667   4.07660016854550e-17   9.78384040450919e-15
       16.0000000000000    0.00367647058823531    0.00367647058823529   1.47451495458029e-17   4.01068067645838e-15
       17.0000000000000    0.00326797385620917    0.00326797385620915   2.34187669256869e-17   7.16614267926019e-15
       18.0000000000000    0.00292397660818720    0.00292397660818713   6.63531729561129e-17   2.26927851509906e-14
       19.0000000000000    0.00263157894736846    0.00263157894736842   3.46944695195361e-17   1.31838984174237e-14
       20.0000000000000    0.00238095238095242    0.00238095238095238   3.59955121265187e-17   1.51181150931379e-14
       21.0000000000000    0.00216450216450219    0.00216450216450216   2.34187669256869e-17   1.08194703196673e-14
