

#                      x                    ber                    bei                    ker                    kei              Wronskian
#              =========              =========              =========              =========              =========
  1.800000000000000e+00  7.880261623836874e-01  7.489792074833963e-01                    nan                    nan
  1.810000000000000e+00  7.812291577518504e-01  7.537614533615454e-01                    nan                    nan
  1.820000000000000e+00  7.744080491220309e-01  7.585109817180544e-01                    nan                    nan
  1.830000000000000e+00  7.675631580221657e-01  7.632273658771273e-01                    nan                    nan
  1.840000000000000e+00  7.606948039383130e-01  7.679101844369668e-01                    nan                    nan
  1.850000000000000e+00  7.538033044114060e-01  7.725590212467216e-01                    nan                    nan
  1.860000000000000e+00  7.468889751311171e-01  7.771734653833327e-01                    nan                    nan
  1.870000000000000e+00  7.399521300269160e-01  7.817531111282991e-01                    nan                    nan
  1.880000000000000e+00  7.329930813563812e-01  7.862975579443648e-01                    nan                    nan
  1.890000000000000e+00  7.260121397908422e-01  7.908064104521437e-01                    nan                    nan
  1.900000000000000e+00  7.190096144984087e-01  7.952792784066874e-01                    nan                    nan
  1.910000000000000e+00  7.119858132244613e-01  7.997157766740094e-01                    nan                    nan
  1.920000000000000e+00  7.049410423696582e-01  8.041155252075735e-01                    nan                    nan
  1.930000000000000e+00  6.978756070655225e-01  8.084781490247536e-01                    nan                    nan
  1.940000000000000e+00  6.907898112476691e-01  8.128032781832767e-01                    nan                    nan
  1.950000000000000e+00  6.836839577267264e-01  8.170905477576543e-01                    nan                    nan
  1.960000000000000e+00  6.765583482570112e-01  8.213395978156113e-01                    nan                    nan
  1.970000000000000e+00  6.694132836030099e-01  8.255500733945200e-01                    nan                    nan
  1.980000000000000e+00  6.622490636037183e-01  8.297216244778455e-01                    nan                    nan
  1.990000000000000e+00  6.550659872348926e-01  8.338539059716107e-01                    nan                    nan
  2.000000000000000e+00  6.478643526692630e-01  8.379465776808871e-01                    nan                    nan
  2.010000000000000e+00  6.406444573347526e-01  8.419993042863151e-01                    nan                    nan
  2.020000000000000e+00  6.334065979707592e-01  8.460117553206664e-01                    nan                    nan
  2.030000000000000e+00  6.261510706825361e-01  8.499836051454441e-01                    nan                    nan
  2.040000000000000e+00  6.188781709937210e-01  8.539145329275375e-01                    nan                    nan
  2.050000000000000e+00  6.115881938970633e-01  8.578042226159271e-01                    nan                    nan
  2.060000000000000e+00  6.042814339033786e-01  8.616523629184509e-01                    nan                    nan
  2.070000000000000e+00  5.969581850887848e-01  8.654586472786343e-01                    nan                    nan
  2.080000000000000e+00  5.896187411402550e-01  8.692227738525897e-01                    nan                    nan
  2.090000000000000e+00  5.822633953995268e-01  8.729444454859847e-01                    nan                    nan
  2.100000000000000e+00  5.748924409054049e-01  8.766233696910929e-01                    nan                    nan
  2.110000000000000e+00  5.675061704345036e-01  8.802592586239205e-01                    nan                    nan
  2.120000000000000e+00  5.601048765404507e-01  8.838518290614221e-01                    nan                    nan
  2.130000000000000e+00  5.526888515916036e-01  8.874008023787990e-01                    nan                    nan
  2.140000000000000e+00  5.452583878073030e-01  8.909059045268943e-01                    nan                    nan
