

                         x                       ber                       bei                       ker                       kei                 Wronskian
  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00                      -nan                      -nan
  1.650000000000000000e+00  8.868626190256387961e-01  6.736259575654199479e-01 -2.991118299411473598e+00 -2.048784979348891113e+00
  1.660000000000000000e+00  8.804674788530920563e-01  6.788441099204555799e-01 -3.022575897028700127e+00 -2.073454155868928248e+00
  1.670000000000000000e+00  8.740430911926935476e-01  6.840365930033366785e-01 -3.054054602706506542e+00 -2.098485005331752394e+00
  1.680000000000000000e+00  8.675898220201048883e-01  6.892028983672196225e-01 -3.085549805287483327e+00 -2.123882779184658965e+00
  1.690000000000000000e+00  8.611080334153325384e-01  6.943425231644199903e-01 -3.117056775612082117e+00 -2.149652767419687948e+00
  1.700000000000000000e+00  8.545980837130795020e-01  6.994549701264762418e-01 -3.148570664329100320e+00 -2.175800298198897082e+00
  1.710000000000000000e+00  8.480603276488196493e-01  7.045397475438897326e-01 -3.180086499675036526e+00 -2.202330737457042267e+00
  1.720000000000000000e+00  8.414951165007095181e-01  7.095963692455601711e-01 -3.211599185221989580e+00 -2.229249488481120559e+00
  1.730000000000000000e+00  8.349027982274487611e-01  7.146243545779349875e-01 -3.243103497593773905e+00 -2.256561991466220122e+00
  1.740000000000000000e+00  8.282837176021968582e-01  7.196232283838904546e-01 -3.274594084149923434e+00 -2.284273723047110432e+00
  1.750000000000000000e+00  8.216382163426503043e-01  7.245925209813617981e-01 -3.306065460637256330e+00 -2.312390195804994760e+00
  1.760000000000000000e+00  8.149666332373812069e-01  7.295317681417389362e-01 -3.337512008808672481e+00 -2.340916957748835581e+00
  1.770000000000000000e+00  8.082693042685350817e-01  7.344405110680439239e-01 -3.368927974008855711e+00 -2.369859591770652025e+00
  1.780000000000000000e+00  8.015465627309826056e-01  7.393182963729056098e-01 -3.400307462726552573e+00 -2.399223715074176790e+00
  1.790000000000000000e+00  7.947987393480171758e-01  7.441646760563464839e-01 -3.431644440113099604e+00 -2.429014978576248123e+00
  1.800000000000000000e+00  7.880261623836873221e-01  7.489792074833961574e-01 -3.462932727466870993e+00 -2.459239066280300438e+00
  1.810000000000000000e+00  7.812291577518503250e-01  7.537614533615454167e-01 -3.494165999683318763e+00 -2.489901694621305067e+00
  1.820000000000000000e+00  7.744080491220307950e-01  7.585109817180542869e-01 -3.525337782670277733e+00 -2.521008611781500236e+00
  1.830000000000000000e+00  7.675631580221654735e-01  7.632273658771270650e-01 -3.556441450728207840e+00 -2.552565596976236968e+00
  1.840000000000000000e+00  7.606948039383131031e-01  7.679101844369668151e-01 -3.587470223895046696e+00 -2.584578459709254946e+00
  1.850000000000000000e+00  7.538033044114059038e-01  7.725590212467213572e-01 -3.618417165255345707e+00 -2.617053038996689529e+00
  1.860000000000000000e+00  7.468889751311169508e-01  7.771734653833323464e-01 -3.649275178213363557e+00 -2.649995202559098221e+00
  1.870000000000000000e+00  7.399521300269155976e-01  7.817531111282986066e-01 -3.680037003729791447e+00 -2.683410845980781648e+00
  1.880000000000000000e+00  7.329930813563810121e-01  7.862975579443644642e-01 -3.710695217521785139e+00 -2.717305891835660845e+00
  1.890000000000000000e+00  7.260121397908418898e-01  7.908064104521434269e-01 -3.741242227225979610e+00 -2.751686288778959125e+00
