

Spouge Algorithm


spouge<float>
err = 6.349363e-02
err = 7.145545e-03
err = 9.285597e-04
err = 1.279854e-04
err = 1.821905e-05
err = 2.647008e-06
err = 3.900335e-07
a = 8.000000e+00
c_0 = 2.901419e+03
c_1 = -5.929168e+03
c_2 = 4.148274e+03
c_3 = -1.164760e+03
c_4 = 1.174135e+02
c_5 = -2.786588e+00
c_6 = 3.775392e-03
c_7 = -0.000000e+00
 0.000000e+00 inf inf -nan
 1.990000e+00 -4.194736e-03 -4.195525e-03 7.888302e-07
 2.000000e+00 4.768372e-07 0.000000e+00 4.768372e-07
 2.010000e+00 4.259765e-03 4.260019e-03 -2.537854e-07
 2.020000e+00 8.583844e-03 8.584130e-03 -2.859160e-07
 2.030000e+00 1.297158e-02 1.297194e-02 -3.557652e-07
 2.040000e+00 1.742357e-02 1.742304e-02 5.252659e-07
 2.050000e+00 2.193779e-02 2.193707e-02 7.171184e-07
 2.060000e+00 2.651393e-02 2.651363e-02 3.054738e-07
 2.070000e+00 3.115273e-02 3.115234e-02 3.837049e-07
 2.080000e+00 3.585303e-02 3.585283e-02 1.937151e-07
 2.090000e+00 4.061460e-02 4.061474e-02 -1.341105e-07
 2.100000e+00 4.543722e-02 4.543769e-02 -4.768372e-07
 2.110000e+00 5.032063e-02 5.032133e-02 -7.040799e-07
 2.120000e+00 5.526561e-02 5.526530e-02 3.091991e-07
 2.130000e+00 6.027001e-02 6.026924e-02 7.748604e-07
 2.140000e+00 6.533271e-02 6.533281e-02 -9.685755e-08
 2.150000e+00 7.045448e-02 7.045566e-02 -1.184642e-06
 2.160000e+00 7.563788e-02 7.563745e-02 4.246831e-07
 2.170000e+00 8.087897e-02 8.087786e-02 1.117587e-06
 2.180000e+00 8.617651e-02 8.617665e-02 -1.341105e-07
 2.190000e+00 9.153330e-02 9.153327e-02 3.725290e-08
 2.200000e+00 9.694815e-02 9.694749e-02 6.556511e-07
 2.210000e+00 1.024190e-01 1.024190e-01 -5.960464e-08
 2.220000e+00 1.079484e-01 1.079475e-01 8.493662e-07
 2.230000e+00 1.135324e-01 1.135327e-01 -2.458692e-07
 2.240000e+00 1.191728e-01 1.191742e-01 -1.363456e-06
 2.250000e+00 1.248704e-01 1.248717e-01 -1.356006e-06
 2.260000e+00 1.306248e-01 1.306250e-01 -2.235174e-07
 2.270000e+00 1.364322e-01 1.364337e-01 -1.460314e-06
 2.280000e+00 1.422963e-01 1.422975e-01 -1.281500e-06
 2.290000e+00 1.482158e-01 1.482162e-01 -4.321337e-07
 2.300000e+00 1.541886e-01 1.541894e-01 -7.897615e-07
 2.310000e+00 1.602176e-01 1.602169e-01 7.450581e-07
 2.320000e+00 1.662987e-01 1.662983e-01 4.172325e-07
 2.330000e+00 1.724328e-01 1.724335e-01 -6.854534e-07
 2.340000e+00 1.786215e-01 1.786220e-01 -5.215406e-07
 2.350000e+00 1.848627e-01 1.848636e-01 -8.940697e-07
 2.360000e+00 1.911574e-01 1.911581e-01 -7.301569e-07
 2.370000e+00 1.975054e-01 1.975052e-01 1.490116e-07
 2.380000e+00 2.039054e-01 2.039046e-01 8.046627e-07
 2.390000e+00 2.103565e-01 2.103560e-01 4.470348e-07
 2.400000e+00 2.168584e-01 2.168592e-01 -7.748604e-07
 2.410000e+00 2.234140e-01 2.234139e-01 5.960464e-08
 2.420000e+00 2.300211e-01 2.300199e-01 1.192093e-06
 2.430000e+00 2.366759e-01 2.366769e-01 -1.043081e-06
 2.440000e+00 2.433836e-01 2.433848e-01 -1.132488e-06
 2.450000e+00 2.501417e-01 2.501430e-01 -1.311302e-06
 2.460000e+00 2.569517e-01 2.569515e-01 2.384186e-07
 2.470000e+00 2.638106e-01 2.638099e-01 7.152557e-07
 2.480000e+00 2.707194e-01 2.707182e-01 1.251698e-06
 2.490000e+00 2.776749e-01 2.776759e-01 -9.536743e-07
 2.500000e+00 2.846828e-01 2.846829e-01 -1.192093e-07
 2.510000e+00 2.917382e-01 2.917389e-01 -7.450581e-07
 2.520000e+00 2.988437e-01 2.988437e-01 -5.960464e-08
 2.530000e+00 3.059964e-01 3.059972e-01 -7.450581e-07
 2.540000e+00 3.131982e-01 3.131989e-01 -6.854534e-07
 2.550000e+00 3.204479e-01 3.204488e-01 -8.344650e-07
 2.560000e+00 3.277473e-01 3.277465e-01 8.642673e-07
 2.570000e+00 3.350916e-01 3.350919e-01 -2.980232e-07
 2.580000e+00 3.424843e-01 3.424847e-01 -4.172325e-07
 2.590000e+00 3.499245e-01 3.499247e-01 -2.384186e-07
 2.600000e+00 3.574120e-01 3.574118e-01 2.384186e-07
 2.610000e+00 3.649449e-01 3.649456e-01 -7.450581e-07
 2.620000e+00 3.725258e-01 3.725260e-01 -2.384186e-07
 2.630000e+00 3.801527e-01 3.801527e-01 -2.980232e-08
 2.640000e+00 3.878266e-01 3.878256e-01 9.238720e-07
 2.650000e+00 3.955443e-01 3.955444e-01 -1.490116e-07
 2.660000e+00 4.033086e-01 4.033090e-01 -3.576279e-07
 2.670000e+00 4.111196e-01 4.111190e-01 5.364418e-07
 2.680000e+00 4.189742e-01 4.189745e-01 -2.980232e-07
 2.690000e+00 4.268750e-01 4.268751e-01 -1.490116e-07
 2.700000e+00 4.348211e-01 4.348206e-01 5.364418e-07
 2.710000e+00 4.428106e-01 4.428107e-01 -1.192093e-07
 2.720000e+00 4.508442e-01 4.508454e-01 -1.251698e-06
 2.730000e+00 4.589248e-01 4.589244e-01 3.576279e-07
 2.740000e+00 4.670463e-01 4.670476e-01 -1.311302e-06
 2.750000e+00 4.752154e-01 4.752147e-01 7.748604e-07
 2.760000e+00 4.834266e-01 4.834255e-01 1.072884e-06
 2.770000e+00 4.916803e-01 4.916799e-01 3.278255e-07
 2.780000e+00 4.999766e-01 4.999777e-01 -1.072884e-06
 2.790000e+00 5.083183e-01 5.083187e-01 -4.172325e-07
 2.800000e+00 5.167024e-01 5.167028e-01 -3.576279e-07
 2.810000e+00 5.251288e-01 5.251296e-01 -7.748604e-07
 2.820000e+00 5.335985e-01 5.335991e-01 -5.364418e-07
 2.830000e+00 5.421103e-01 5.421110e-01 -7.152557e-07
 2.840000e+00 5.506650e-01 5.506654e-01 -3.576279e-07
 2.850000e+00 5.592618e-01 5.592617e-01 5.960464e-08
 2.860000e+00 5.678985e-01 5.679001e-01 -1.609325e-06
 2.870000e+00 5.765808e-01 5.765802e-01 5.960464e-07
 2.880000e+00 5.853019e-01 5.853019e-01 -5.960464e-08
 2.890000e+00 5.940647e-01 5.940651e-01 -3.576279e-07
 2.900000e+00 6.028700e-01 6.028695e-01 5.364418e-07
 2.910000e+00 6.117157e-01 6.117150e-01 6.556511e-07
 2.920000e+00 6.206009e-01 6.206014e-01 -4.768372e-07
 2.930000e+00 6.295283e-01 6.295286e-01 -3.576279e-07
 2.940000e+00 6.384970e-01 6.384965e-01 5.364418e-07
 2.950000e+00 6.475039e-01 6.475049e-01 -1.072884e-06
 2.960000e+00 6.565528e-01 6.565534e-01 -6.556511e-07
 2.970000e+00 6.656427e-01 6.656421e-01 6.556511e-07
 2.980000e+00 6.747718e-01 6.747707e-01 1.072884e-06
 2.990000e+00 6.839386e-01 6.839391e-01 -4.768372e-07
 3.000000e+00 6.931462e-01 6.931472e-01 -9.536743e-07
 3.010000e+00 7.023946e-01 7.023947e-01 -1.192093e-07
 3.020000e+00 7.116807e-01 7.116817e-01 -1.013279e-06
 3.030000e+00 7.210072e-01 7.210077e-01 -4.768372e-07
 3.040000e+00 7.303714e-01 7.303728e-01 -1.490116e-06
 3.050000e+00 7.397768e-01 7.397768e-01 0.000000e+00
 3.060000e+00 7.492189e-01 7.492196e-01 -6.556511e-07
 3.070000e+00 7.587012e-01 7.587010e-01 2.384186e-07
 3.080000e+00 7.682208e-01 7.682207e-01 5.960464e-08
 3.090000e+00 7.777785e-01 7.777787e-01 -2.384186e-07
 3.100000e+00 7.873755e-01 7.873750e-01 4.768372e-07
 3.110000e+00 7.970093e-01 7.970092e-01 1.192093e-07
 3.120000e+00 8.066813e-01 8.066813e-01 -5.960464e-08
 3.130000e+00 8.163903e-01 8.163912e-01 -8.940697e-07
 3.140000e+00 8.261390e-01 8.261386e-01 3.576279e-07
 3.150000e+00 8.359236e-01 8.359234e-01 1.192093e-07
 3.160000e+00 8.457450e-01 8.457456e-01 -6.556511e-07
 3.170000e+00 8.556049e-01 8.556049e-01 -5.960464e-08
 3.180000e+00 8.654997e-01 8.655013e-01 -1.549721e-06
 3.190000e+00 8.754349e-01 8.754346e-01 2.980232e-07
 3.200000e+00 8.854055e-01 8.854046e-01 8.940697e-07
 3.210000e+00 8.954117e-01 8.954116e-01 1.788139e-07
 3.220000e+00 9.054544e-01 9.054548e-01 -3.576279e-07
 3.230000e+00 9.155344e-01 9.155343e-01 1.192093e-07
 3.240000e+00 9.256496e-01 9.256501e-01 -4.172325e-07
 3.250000e+00 9.358011e-01 9.358019e-01 -7.748604e-07
 3.260000e+00 9.459889e-01 9.459898e-01 -9.536743e-07
 3.270000e+00 9.562117e-01 9.562135e-01 -1.788139e-06
 3.280000e+00 9.664744e-01 9.664730e-01 1.430511e-06
 3.290000e+00 9.767674e-01 9.767680e-01 -5.364418e-07
 3.300000e+00 9.870992e-01 9.870985e-01 6.556511e-07
 3.310000e+00 9.974650e-01 9.974644e-01 5.960464e-07
 3.320000e+00 1.007868e+00 1.007865e+00 2.145767e-06
 3.330000e+00 1.018303e+00 1.018302e+00 1.311302e-06
 3.340000e+00 1.028772e+00 1.028773e+00 -4.768372e-07
 3.350000e+00 1.039277e+00 1.039279e+00 -1.668930e-06
 3.360000e+00 1.049821e+00 1.049820e+00 9.536743e-07
 3.370000e+00 1.060396e+00 1.060395e+00 8.344650e-07
 3.380000e+00 1.071003e+00 1.071005e+00 -2.264977e-06
 3.390000e+00 1.081651e+00 1.081649e+00 1.549721e-06
 3.400000e+00 1.092328e+00 1.092328e+00 -2.384186e-07
 3.410000e+00 1.103041e+00 1.103041e+00 0.000000e+00
 3.420000e+00 1.113786e+00 1.113787e+00 -1.192093e-06
 3.430000e+00 1.124568e+00 1.124568e+00 -1.192093e-07
 3.440000e+00 1.135381e+00 1.135383e+00 -1.430511e-06
 3.450000e+00 1.146230e+00 1.146231e+00 -5.960464e-07
 3.460000e+00 1.157115e+00 1.157113e+00 1.668930e-06
 3.470000e+00 1.168028e+00 1.168028e+00 1.192093e-07
 3.480000e+00 1.178976e+00 1.178977e+00 -8.344650e-07
 3.490000e+00 1.189960e+00 1.189959e+00 9.536743e-07
 3.500000e+00 1.200972e+00 1.200974e+00 -1.311302e-06
 3.510000e+00 1.212023e+00 1.212022e+00 1.311302e-06
 3.520000e+00 1.223102e+00 1.223103e+00 -9.536743e-07
 3.530000e+00 1.234217e+00 1.234216e+00 5.960464e-07
 3.540000e+00 1.245363e+00 1.245363e+00 2.384186e-07
 3.550000e+00 1.256542e+00 1.256542e+00 2.384186e-07
 3.560000e+00 1.267753e+00 1.267754e+00 -4.768372e-07
 3.570000e+00 1.278999e+00 1.278998e+00 9.536743e-07
 3.580000e+00 1.290275e+00 1.290274e+00 7.152557e-07
 3.590000e+00 1.301584e+00 1.301583e+00 1.907349e-06
 3.600000e+00 1.312923e+00 1.312923e+00 -2.384186e-07
 3.610000e+00 1.324297e+00 1.324296e+00 1.072884e-06
 3.620000e+00 1.335700e+00 1.335700e+00 0.000000e+00
 3.630000e+00 1.347136e+00 1.347136e+00 -3.576279e-07
 3.640000e+00 1.358605e+00 1.358604e+00 9.536743e-07
 3.650000e+00 1.370102e+00 1.370104e+00 -1.788139e-06
 3.660000e+00 1.381635e+00 1.381635e+00 0.000000e+00
 3.670000e+00 1.393198e+00 1.393198e+00 7.152557e-07
 3.680000e+00 1.404792e+00 1.404791e+00 7.152557e-07
 3.690000e+00 1.416417e+00 1.416416e+00 5.960464e-07
 3.700000e+00 1.428073e+00 1.428072e+00 4.768372e-07
 3.710000e+00 1.439759e+00 1.439759e+00 -3.576279e-07
 3.720000e+00 1.451478e+00 1.451477e+00 5.960464e-07
 3.730000e+00 1.463226e+00 1.463226e+00 2.384186e-07
 3.740000e+00 1.475007e+00 1.475006e+00 1.072884e-06
 3.750000e+00 1.486815e+00 1.486816e+00 -7.152557e-07
